N_d,forward_seed,data_seed,p_bar,dli_lower,dli_upper,dli_width,bg_lower,bg_upper,bg_width,width_ratio,excess_width,upper_slack,lower_slack,hausdorff_gap,containment_violation,dli_iters,dli_converged_pos,dli_converged_neg,dli_elapsed_s
40,13,456,1.120510611815862,-0.4077067550390482,1.5623064568728315,1.9700132119118798,-0.6246318785673929,1.8700085235013881,2.494640402068781,1.2663064323552202,0.5246271901569011,0.3077020666285566,0.2169251235283447,0.3077020666285566,0.0,47,1,1,3.8397019859994543
100,2,42,1.120510611815862,0.7511234810372927,1.3695091890388902,0.6183857080015975,0.5741691222273142,1.581234182578393,1.007065060351079,1.6285387054069451,0.38867935234948137,0.21172499353950291,0.17695435880997845,0.21172499353950291,0.0,130,1,1,30.016057387999354
100,2,123,1.120510611815862,0.7694324770568899,1.3680054670282278,0.5985729899713379,0.5796759144206654,1.5867409747717443,1.007065060351079,1.6824432061314716,0.408492070379741,0.21873550774351647,0.18975656263622454,0.21873550774351647,0.0,110,1,1,25.4504227970001
100,2,456,1.120510611815862,0.7741951066456372,1.3784965713943973,0.6043014647487601,0.5962352419646102,1.603300302315689,1.007065060351079,1.6664944884251915,0.4027635956023188,0.2248037309212918,0.17795986468102698,0.2248037309212918,0.0,130,1,1,30.14325744300004
100,7,42,1.120510611815862,0.8671886879393529,1.2942161370583727,0.4270274491190198,0.7791845206500291,1.3759355531541388,0.5967510325041098,1.39745356823136,0.16972358338508997,0.08171941609576616,0.08800416728932381,0.08800416728932381,0.0,117,1,1,26.095238052999775
100,7,123,1.120510611815862,0.9079092099449866,1.318789017529505,0.41087980758451836,0.8125494622520526,1.4093004947561625,0.5967510325041099,1.452373714863945,0.18587122491959152,0.09051147722665753,0.09535974769293398,0.09535974769293398,0.0,119,1,1,26.629379381000035
100,7,456,1.120510611815862,0.880580304127193,1.2854185805984484,0.40483827647125536,0.7806789881107198,1.3774300206148296,0.5967510325041098,1.4740479524457237,0.1919127560328544,0.09201144001638117,0.09990131601647323,0.09990131601647323,0.0,111,1,1,24.73133626299932
100,13,42,1.120510611815862,0.3156536291265819,1.4106239596162053,1.0949703304896234,0.028286576684333764,1.8879723693401018,1.859685792655768,1.698389208248407,0.7647154621661445,0.47734840972389647,0.28736705244224814,0.47734840972389647,0.0,78,1,1,17.255766702000074
100,13,123,1.120510611815862,0.2529548838576491,1.3957229340014408,1.1427680501437916,-0.04498421393382557,1.8147015787219425,1.859685792655768,1.627351930622989,0.7169177425119764,0.4189786447205017,0.29793909779147465,0.4189786447205017,0.0,105,1,1,23.366278461000547
100,13,456,1.120510611815862,0.3723053464024655,1.404745173292439,1.0324398268899735,0.06198273289119566,1.9216685255469637,1.859685792655768,1.8012534427867954,0.8272459657657945,0.5169233522545247,0.31032261351126983,0.5169233522545247,0.0,88,1,1,19.636791563999395
200,2,42,1.120510611815862,0.9569235820533073,1.2596880464920797,0.30276446443877236,0.8556161430577719,1.3459285608623102,0.49031241780453827,1.6194516708340239,0.1875479533657659,0.0862405143702305,0.1013074389955354,0.1013074389955354,0.0,121,1,1,53.15695360300015
200,2,123,1.120510611815862,0.9635691127178017,1.2604960322837178,0.2969269195659161,0.8590972650240188,1.3494096828285573,0.4903124178045385,1.6512898814339125,0.1933854982386224,0.08891365054483957,0.10447184769378282,0.10447184769378282,0.0,154,1,1,67.98357166299957
200,2,456,1.120510611815862,0.9823099261475599,1.263325291515628,0.28101536536806804,0.8699869800411452,1.3602993978456834,0.49031241780453827,1.7447886422948344,0.20929705243647023,0.09697410633005554,0.11232294610641469,0.11232294610641469,0.0,142,1,1,62.545769340000334
200,7,42,1.120510611815862,0.9561496700859742,1.285368805473392,0.32921913538741787,0.8389462854428481,1.3928244636358502,0.5538781781930021,1.6823997108831794,0.22465904280558424,0.10745565816245817,0.11720338464312607,0.11720338464312607,0.0,140,1,1,60.64367299500009
200,7,123,1.120510611815862,0.9423927207950094,1.2850038866590279,0.3426111658640185,0.8286295510517904,1.3825077292447925,0.5538781781930021,1.6166378489043025,0.2112670123289836,0.09750384258576461,0.11376316974321898,0.11376316974321898,0.0,122,1,1,52.59748879600011
200,7,456,1.120510611815862,0.9397552174574285,1.2636827218256625,0.32392750436823403,0.8180338312660932,1.3719120094590953,0.5538781781930021,1.709883139664994,0.22995067382476808,0.10822928763343276,0.12172138619133532,0.12172138619133532,0.0,121,1,1,52.2680622099997
200,13,42,1.120510611815862,0.8202881700292832,1.2995872582454968,0.4792990882162136,0.6328303185926898,1.4787234920316141,0.8458931734389243,1.7648545433020704,0.36659408522271075,0.17913623378611732,0.18745785143659344,0.18745785143659344,0.0,170,1,1,70.89803297199978
200,13,123,1.120510611815862,0.8810669513518593,1.3212505667710541,0.4401836154191948,0.6768188813111167,1.5227120547500412,0.8458931734389246,1.9216825520263066,0.40570955801972974,0.2014614879789871,0.20424807004074264,0.20424807004074264,0.0,151,1,1,63.41518602500037
200,13,456,1.120510611815862,0.8884087463457574,1.3058065132992303,0.41739776695347286,0.670534095391808,1.5164272688307325,0.8458931734389246,2.0265876830462677,0.4284954064854517,0.21062075553150228,0.21787465095394942,0.21787465095394942,0.0,188,1,1,79.0143150089998
400,2,42,1.120510611815862,1.0014088982812492,1.2148563999472735,0.21344750166602422,0.8816665798422026,1.3137634813384937,0.4320969014962911,2.0243708552390647,0.21864939983026688,0.09890708139122029,0.11974231843904659,0.11974231843904659,0.0,165,1,1,140.80519973300034
400,2,123,1.120510611815862,1.0260897198452084,1.2225356422698899,0.1964459224246815,0.8987871217093265,1.3308840232056176,0.4320969014962911,2.199571750652954,0.2356509790716096,0.10834838093572774,0.12730259813588185,0.12730259813588185,0.0,196,1,1,167.69906594800068
400,2,456,1.120510611815862,1.0330324388952874,1.2150221715407508,0.18198973264546336,0.8972524936083043,1.3293493951045954,0.4320969014962911,2.374292742866241,0.25010716885082773,0.11432722356384462,0.13577994528698312,0.13577994528698312,0.0,205,1,1,175.57417110299957
400,7,42,1.120510611815862,0.9930732912721851,1.218881032456567,0.22580774118438196,0.8666970384900977,1.324643223873437,0.4579461853833392,2.028035810381744,0.23213844419895724,0.10576219141686982,0.12637625278208742,0.12637625278208742,0.0,162,1,1,137.67323861599925
400,7,123,1.120510611815862,1.0120826806193137,1.2279806613843491,0.2158979807650354,0.8800713906361549,1.3380175760194941,0.4579461853833392,2.121123058958703,0.24204820461830379,0.11003691463514498,0.1320112899831588,0.1320112899831588,0.0,176,1,1,150.45166730799974
400,7,456,1.120510611815862,1.013847952956187,1.228965008935183,0.21511705597899589,0.881000958902392,1.3389471442857312,0.4579461853833392,2.128823227424855,0.2428291294043433,0.10998213535054835,0.13284699405379496,0.13284699405379496,0.0,215,1,1,182.98890127100003
400,13,42,1.120510611815862,0.9559931693568805,1.2385627318831638,0.2825695625262833,0.789241269468336,1.3786971779535182,0.5894559084851823,2.0860559191698287,0.30688634595889897,0.1401344460703544,0.16675189988854455,0.16675189988854455,0.0,110,1,1,93.495864687
400,13,123,1.120510611815862,0.9932838888483275,1.2295513263153766,0.23626743746704904,0.7989246847559266,1.3883805932411089,0.5894559084851823,2.4948673198666684,0.3531884710181332,0.1588292669257323,0.19435920409240093,0.19435920409240093,0.0,144,1,1,123.44290944299973
400,13,456,1.120510611815862,0.9899201495101184,1.2335434946731931,0.2436233451630747,0.799094420509963,1.3885503289951453,0.5894559084851823,2.4195378652674555,0.34583256332210754,0.15500683432195217,0.19082572900015538,0.19082572900015538,0.0,133,1,1,112.90313649699965
1000,2,42,1.120510611815862,1.0384746722308407,1.18774220105148,0.14926752882063932,0.8902161959866121,1.3172293594139561,0.4270131634273441,2.860723740797273,0.27774563460670476,0.12948715836247615,0.1482584762442286,0.1482584762442286,0.0,299,1,1,640.0109362310004
1000,2,123,1.120510611815862,1.0450950611897816,1.1906606265443833,0.14556556535460174,0.8931333840000469,1.320146547427391,0.4270131634273441,2.933476487980713,0.28144759807274233,0.1294859208830077,0.15196167718973463,0.15196167718973463,0.0,313,1,1,671.4671554710003
1000,2,456,1.120510611815862,1.0435890123925589,1.1902017422449125,0.14661272985235363,0.8927858135584114,1.3197989769857554,0.4270131634273441,2.9125244708107387,0.28040043357499045,0.12959723474084295,0.1508031988341475,0.1508031988341475,0.0,239,1,1,514.6670190820005
1000,7,42,1.120510611815862,1.0168636659706825,1.185178359557124,0.16831469358644147,0.9001460187542432,1.302916340957001,0.4027703222027579,2.392959958637877,0.2344556286163164,0.11773798139987712,0.11671764721643929,0.11773798139987712,0.0,191,1,1,410.94453853699997
1000,7,123,1.120510611815862,1.053820382406923,1.1869860473804716,0.13316566497354865,0.9101137635386107,1.3128840857413686,0.4027703222027579,3.024580865366175,0.26960465722920923,0.12589803836089697,0.14370661886831226,0.14370661886831226,0.0,295,1,1,637.3664596220005
1000,7,456,1.120510611815862,1.0469760868394284,1.1859207734712887,0.13894468663186021,0.9049347193923449,1.3077050415951028,0.4027703222027579,2.89878175240997,0.26382563557089767,0.12178426812381415,0.1420413674470835,0.1420413674470835,0.0,349,1,1,752.1731582089997
1000,13,42,1.120510611815862,1.0370696412443579,1.1880814813719558,0.15101184012759794,0.8971362486624623,1.3123740101211092,0.4152377614586469,2.7497033418557804,0.26422592133104894,0.12429252874915342,0.13993339258189552,0.13993339258189552,0.0,231,1,1,499.4005315100003
1000,13,123,1.120510611815862,1.0464608828973594,1.1804441250776607,0.13398324218030133,0.8960486341510587,1.3112863956097056,0.4152377614586469,3.0991768425775303,0.28125451927834555,0.1308422705320449,0.15041224874630066,0.15041224874630066,0.0,197,1,1,426.1353114979993
1000,13,456,1.120510611815862,1.0325699041338963,1.1728530122209937,0.14028310808709743,0.8844874130712495,1.2997251745298963,0.4152377614586469,2.9599983000151284,0.27495465337154945,0.12687216230890264,0.14808249106264681,0.14808249106264681,0.0,246,1,1,532.289255615
